date,value
16/01/21,2
24/01/21,1
30/01/21,2
31/01/21,2
4/4/2021,1
14/04/2021,1
18/04/2021,1
19/04/2021,2
20/04/2021,3
21/04/2021,1
22/04/2021,3
28/04/2021,2
1/5/2021,4
2/5/2021,6
3/5/2021,7
5/5/2021,2
6/5/2021,3
7/5/2021,2
8/5/2021,5
9/5/2021,5
10/5/2021,4
11/5/2021,6
12/5/2021,5
13/05/2021,11
14/05/2021,6
15/05/2021,7
16/05/2021,7
17/05/2021,2
18/05/2021,1
19/05/2021,3
21/05/2021,1
30/05/2021,4
12/6/2021,3
19/06/2021,4
20/06/2021,5
22/06/2021,2
23/06/2021,1
24/06/2021,3
26/06/2021,3
7/7/2021,1
8/7/2021,1
9/7/2021,2
13/07/2021,4
14/07/2021,1
15/07/2021,3
16/07/2021,3
18/07/2021,3
19/07/2021,4
20/07/2021,4
21/07/2021,3
22/07/2021,3
24/07/2021,4
25/07/2021,2
29/07/2021,7
30/07/2021,6
31/07/2021,3
1/8/2021,6
2/8/2021,2
3/8/2021,1
7/8/2021,2
8/8/2021,3
9/8/2021,11
10/8/2021,2
17/08/2021,4
18/08/2021,3
19/08/2021,3
20/08/2021,3
22/08/2021,1
4/9/2021,3
6/9/2021,2
8/9/2021,2
9/9/2021,2
10/9/2021,1
12/9/2021,1
13/09/2021,3
14/09/2021,5
15/09/2021,3
16/09/2021,1
17/09/2021,8
18/09/2021,5
19/09/2021,9
20/09/2021,8
21/09/2021,3
22/09/2021,4
23/09/2021,5
24/09/2021,6
25/09/2021,7
26/09/2021,4
27/09/2021,6
28/09/2021,2
29/09/2021,3
30/09/2021,7
1/10/2021,4
2/10/2021,6
3/10/2021,5
4/10/2021,4
5/10/2021,1
6/10/2021,2
7/10/2021,3
8/10/2021,2
9/10/2021,7
10/10/2021,1
11/10/2021,3
13/10/2021,2
14/10/2021,2
15/10/2021,4
16/10/2021,5
17/10/2021,3
18/10/2021,5
19/10/2021,4
20/10/2021,6
21/10/2021,3
22/10/2021,6
23/10/2021,6
24/10/2021,3
26/10/2021,2
27/10/2021,3
28/10/2021,4
29/10/2021,3
30/10/2021,3
31/10/2021,3
1/11/2021,5
2/11/2021,5
3/11/2021,4
5/11/2021,8
6/11/2021,3
7/11/2021,2
8/11/2021,2
9/11/2021,4
10/11/2021,8
11/11/2021,2
12/11/2021,5
13/11/2021,8
14/11/2021,5
15/11/2021,9
16/11/2021,4
17/11/2021,3
18/11/2021,3
19/11/2021,1
20/11/2021,2
21/11/2021,4
22/11/2021,3
23/11/2021,4
24/11/2021,4
25/11/2021,1
26/11/2021,4
27/11/2021,1
28/11/2021,4
30/11/2021,1
1/12/2021,4
2/12/2021,2
4/12/2021,2
17/12/2021,7
19/12/2021,2
24/12/2021,1
